Student,Dataset,Model,Accuracy,F1-Score,Cohen Kappa
Student 1,Air Quality,Random Forest,0.9915052667346246,0.9912174031932598,0.9822318874529232
Student 1,Air Quality,XGBoost,0.9884471627590894,0.9883703888280058,0.9759350475721844
Student 2,Climate Text,Logistic Regression,1.0,1.0,1.0
Student 2,Climate Text,SVM,1.0,1.0,1.0
Student 3,Water Quality,Decision Tree,0.9953449005501481,0.9953479162775447,0.9898864605101942
Student 3,Water Quality,Gradient Boosting,0.9966144731273805,0.9966144731273805,0.9926350844877051
